nodei;nodej;frechet_m;direccion;longitud1_m;longitud2_m;longitud_promedio_m;diferencia_relativa_pct;duplicadas;atributos_iguales
149955;149653;0.0;invertida;1790.53;1790.53;1790.53;0.0;Sí;Sí
145353;145186;0.0;invertida;1551.25;1551.25;1551.25;0.0;Sí;Sí
145808;146049;0.0;invertida;1563.18;1563.18;1563.18;0.0;Sí;Sí
147411;147404;0.0;invertida;31.71;31.71;31.71;0.0;Sí;Sí
144139;144044;0.0;invertida;1168.38;1168.38;1168.38;0.0;Sí;Sí
148922;148932;0.0;invertida;85.11;85.11;85.11;0.0;Sí;Sí
144861;144870;0.0;invertida;70.19;70.19;70.19;0.0;Sí;Sí
147730;147749;0.0;invertida;89.98;89.98;89.98;0.0;Sí;Sí
147777;147749;0.0;invertida;106.14;106.14;106.14;0.0;Sí;Sí
147005;146879;0.0;invertida;367.12;367.12;367.12;0.0;Sí;Sí
149056;149043;0.0;invertida;368.07;368.07;368.07;0.0;Sí;Sí
148932;148950;0.0;invertida;159.79;159.79;159.79;0.0;Sí;Sí
149680;149623;0.0;invertida;330.14;330.14;330.14;0.0;Sí;Sí
146450;146470;0.0;invertida;994.42;994.42;994.42;0.0;Sí;Sí
148665;148980;0.0;invertida;2883.91;2883.91;2883.91;0.0;Sí;Sí
149457;149415;0.0;invertida;282.7;282.7;282.7;0.0;Sí;Sí
150018;150134;0.0;invertida;816.15;816.15;816.15;0.0;Sí;Sí
149320;149270;0.0;invertida;439.11;439.11;439.11;0.0;Sí;Sí
146506;146478;0.0;invertida;133.95;133.95;133.95;0.0;Sí;Sí
208074;147717;0.0;invertida;275.75;275.75;275.75;0.0;Sí;Sí
146818;147341;0.0;invertida;3271.56;3271.56;3271.56;0.0;Sí;Sí
145961;146095;0.0;invertida;873.32;873.32;873.32;0.0;Sí;Sí
147056;147520;0.0;invertida;1362.16;1362.16;1362.16;0.0;Sí;Sí
149418;149638;0.0;invertida;1810.67;1810.67;1810.67;0.0;Sí;Sí
147626;147635;0.0;invertida;95.82;95.82;95.82;0.0;Sí;Sí
147469;147558;0.0;invertida;331.93;331.93;331.93;0.0;Sí;Sí
147824;147767;0.0;invertida;201.7;201.7;201.7;0.0;Sí;Sí
147052;146774;0.0;invertida;1015.82;1015.82;1015.82;0.0;Sí;Sí
147186;146999;0.0;invertida;516.8;516.8;516.8;0.0;Sí;Sí
144661;144654;0.0;invertida;50.38;50.38;50.38;0.0;Sí;Sí
149932;149804;0.0;invertida;1004.74;1004.74;1004.74;0.0;Sí;Sí
149340;149341;0.0;invertida;22.4;22.4;22.4;0.0;Sí;Sí
148126;148070;0.0;invertida;123.02;123.02;123.02;0.0;Sí;Sí
149676;149655;0.0;invertida;121.91;121.91;121.91;0.0;Sí;Sí
148080;148088;0.0;invertida;427.68;427.68;427.68;0.0;Sí;Sí
148930;148940;0.0;invertida;32.11;32.11;32.11;0.0;Sí;Sí
149850;149638;0.0;invertida;1742.98;1742.98;1742.98;0.0;Sí;Sí
146846;146799;0.0;invertida;225.64;225.64;225.64;0.0;Sí;Sí
147672;148377;0.0;invertida;3092.02;3092.02;3092.02;0.0;Sí;Sí
149955;149979;0.0;invertida;83.6;83.6;83.6;0.0;Sí;Sí
149163;149158;0.0;invertida;959.29;959.29;959.29;0.0;Sí;Sí
141748;141797;0.0;invertida;755.86;755.86;755.86;0.0;Sí;Sí
148728;148737;0.0;invertida;94.49;94.49;94.49;0.0;Sí;Sí
148626;148790;0.0;invertida;1029.88;1029.88;1029.88;0.0;Sí;Sí
146682;146701;0.0;invertida;153.85;153.85;153.85;0.0;Sí;Sí
144617;144657;0.0;invertida;490.54;490.54;490.54;0.0;Sí;Sí
75001;147940;0.0;invertida;390.17;390.17;390.17;0.0;Sí;Sí
149932;149988;0.0;invertida;371.6;371.6;371.6;0.0;Sí;Sí
148066;148060;0.0;invertida;40.21;40.21;40.21;0.0;Sí;Sí
75122;148115;0.0;invertida;510.35;510.35;510.35;0.0;Sí;Sí
146149;146133;0.0;invertida;800.86;800.86;800.86;0.0;Sí;Sí
148531;148511;0.0;invertida;120.78;120.78;120.78;0.0;Sí;Sí
142147;142148;0.0;invertida;28.05;28.05;28.05;0.0;Sí;Sí
148907;148971;0.0;invertida;813.07;813.07;813.07;0.0;Sí;Sí
149347;149341;0.0;invertida;80.09;80.09;80.09;0.0;Sí;Sí
146641;146619;0.0;invertida;99.85;99.85;99.85;0.0;Sí;Sí
146686;146711;0.0;invertida;169.78;169.78;169.78;0.0;Sí;Sí
146765;146735;0.0;invertida;110.79;110.79;110.79;0.0;Sí;Sí
152002;151562;0.0;invertida;3317.8;3317.8;3317.8;0.0;Sí;Sí
150976;150603;0.0;invertida;4336.77;4336.77;4336.77;0.0;Sí;Sí
146648;146639;0.0;invertida;372.83;372.83;372.83;0.0;Sí;Sí
149340;149277;0.0;invertida;459.79;459.79;459.79;0.0;Sí;Sí
148305;148324;0.0;invertida;303.65;303.65;303.65;0.0;Sí;Sí
149008;148893;0.0;invertida;1103.42;1103.42;1103.42;0.0;Sí;Sí
208186;147767;0.0;invertida;119.6;119.6;119.6;0.0;Sí;Sí
146711;146703;0.0;invertida;38.3;38.3;38.3;0.0;Sí;Sí
149018;149043;0.0;invertida;942.15;942.15;942.15;0.0;Sí;Sí
146800;147528;0.0;invertida;2131.88;2131.88;2131.88;0.0;Sí;Sí
148233;148220;0.0;invertida;61.06;61.06;61.06;0.0;Sí;Sí
149640;149631;0.0;invertida;161.36;161.36;161.36;0.0;Sí;Sí
149913;150026;0.0;invertida;552.67;552.67;552.67;0.0;Sí;Sí
146600;146436;0.0;invertida;761.83;761.83;761.83;0.0;Sí;Sí
149320;149341;0.0;invertida;224.91;224.91;224.91;0.0;Sí;Sí
147833;147866;0.0;invertida;64.9;64.9;64.9;0.0;Sí;Sí
148520;148412;0.0;invertida;439.76;439.76;439.76;0.0;Sí;Sí
147185;208425;0.0;invertida;81.64;81.64;81.64;0.0;Sí;Sí
150179;150070;0.0;invertida;867.03;867.03;867.03;0.0;Sí;Sí
146586;146580;0.0;invertida;83.9;83.9;83.9;0.0;Sí;Sí
149233;149046;0.0;invertida;1807.04;1807.04;1807.04;0.0;Sí;Sí
146901;146678;0.0;invertida;813.83;813.83;813.83;0.0;Sí;Sí
148843;148603;0.0;invertida;1290.94;1290.94;1290.94;0.0;Sí;Sí
146714;146668;0.0;invertida;279.05;279.05;279.05;0.0;Sí;Sí
143933;143909;0.0;invertida;160.75;160.75;160.75;0.0;Sí;Sí
148784;149607;0.0;invertida;15023.48;15023.48;15023.48;0.0;Sí;Sí
148128;148158;0.0;invertida;143.42;143.42;143.42;0.0;Sí;Sí
143696;143716;0.0;invertida;226.59;226.59;226.59;0.0;Sí;Sí
151089;150994;0.0;invertida;1234.85;1234.85;1234.85;0.0;Sí;Sí
